snapshot_date,blood_type,units
2026-04-24,A+,106
2026-04-24,A-,44
2026-04-24,AB+,41
2026-04-24,AB-,34
2026-04-24,B+,81
2026-04-24,B-,74
2026-04-24,O+,152
2026-04-24,O-,109
2026-04-25,A+,119
2026-04-25,A-,46
2026-04-25,AB+,46
2026-04-25,AB-,33
2026-04-25,B+,92
2026-04-25,B-,84
2026-04-25,O+,156
2026-04-25,O-,119
2026-04-26,A+,120
2026-04-26,A-,51
2026-04-26,AB+,47
2026-04-26,AB-,35
2026-04-26,B+,88
2026-04-26,B-,80
2026-04-26,O+,165
2026-04-26,O-,127
2026-04-27,A+,114
2026-04-27,A-,47
2026-04-27,AB+,44
2026-04-27,AB-,33
2026-04-27,B+,87
2026-04-27,B-,77
2026-04-27,O+,148
2026-04-27,O-,115
2026-04-28,A+,108
2026-04-28,A-,45
2026-04-28,AB+,41
2026-04-28,AB-,33
2026-04-28,B+,85
2026-04-28,B-,76
2026-04-28,O+,140
2026-04-28,O-,106
2026-04-29,A+,103
2026-04-29,A-,48
2026-04-29,AB+,44
2026-04-29,AB-,36
2026-04-29,B+,82
2026-04-29,B-,76
2026-04-29,O+,157
2026-04-29,O-,112
2026-04-30,A+,105
2026-04-30,A-,44
2026-04-30,AB+,41
2026-04-30,AB-,31
2026-04-30,B+,85
2026-04-30,B-,77
2026-04-30,O+,141
2026-04-30,O-,111
2026-05-01,A+,105
2026-05-01,A-,44
2026-05-01,AB+,36
2026-05-01,AB-,30
2026-05-01,B+,83
2026-05-01,B-,73
2026-05-01,O+,144
2026-05-01,O-,108
2026-05-02,A+,124
2026-05-02,A-,52
2026-05-02,AB+,42
2026-05-02,AB-,38
2026-05-02,B+,91
2026-05-02,B-,80
2026-05-02,O+,154
2026-05-02,O-,126
2026-05-03,A+,119
2026-05-03,A-,47
2026-05-03,AB+,43
2026-05-03,AB-,34
2026-05-03,B+,88
2026-05-03,B-,81
2026-05-03,O+,154
2026-05-03,O-,121
2026-05-04,A+,115
2026-05-04,A-,46
2026-05-04,AB+,40
2026-05-04,AB-,33
2026-05-04,B+,82
2026-05-04,B-,79
2026-05-04,O+,151
2026-05-04,O-,113
2026-05-05,A+,107
2026-05-05,A-,46
2026-05-05,AB+,43
2026-05-05,AB-,29
2026-05-05,B+,79
2026-05-05,B-,77
2026-05-05,O+,147
2026-05-05,O-,104
2026-05-06,A+,113
2026-05-06,A-,46
2026-05-06,AB+,45
2026-05-06,AB-,33
2026-05-06,B+,86
2026-05-06,B-,79
2026-05-06,O+,154
2026-05-06,O-,126
2026-05-07,A+,101
2026-05-07,A-,44
2026-05-07,AB+,37
2026-05-07,AB-,35
2026-05-07,B+,81
2026-05-07,B-,74
2026-05-07,O+,147
2026-05-07,O-,107
2026-05-08,A+,112
2026-05-08,A-,42
2026-05-08,AB+,41
2026-05-08,AB-,30
