date,cases,deaths
2016-01-10,116,0.0
2016-01-17,97,1.0
2016-01-24,94,1.0
2016-01-31,90,0.0
2016-02-07,73,0.0
2016-02-14,62,0.0
2016-02-21,65,0.0
2016-02-28,58,0.0
2016-03-06,53,0.0
2016-03-13,41,0.0
2016-03-20,35,1.0
2016-03-27,29,0.0
2016-04-03,23,0.0
2016-04-10,23,0.0
2016-04-17,32,0.0
2016-04-24,24,0.0
2016-05-01,25,0.0
2016-05-08,19,0.0
2016-05-15,26,0.0
2016-05-22,21,0.0
2016-05-29,26,0.0
2016-06-05,27,0.0
2016-06-12,27,0.0
2016-06-19,40,0.0
2016-06-26,85,0.0
2016-07-03,77,0.0
2016-07-10,83,0.0
2016-07-17,86,0.0
2016-07-24,135,0.0
2016-07-31,189,0.0
2016-08-07,185,0.0
2016-08-14,188,1.0
2016-08-21,236,0.0
2016-08-28,197,0.0
2016-09-04,230,1.0
2016-09-11,240,4.0
2016-09-18,203,1.0
2016-09-25,215,1.0
2016-10-02,166,2.0
2016-10-09,184,1.0
2016-10-16,183,2.0
2016-10-23,132,0.0
2016-10-30,135,0.0
2016-11-06,107,0.0
2016-11-13,156,0.0
2016-11-20,106,0.0
2016-11-27,76,0.0
2016-12-04,83,2.0
2016-12-11,89,0.0
2016-12-18,72,0.0
2016-12-25,46,0.0
2017-01-01,57,0.0
2017-01-08,89,0.0
2017-01-15,61,0.0
2017-01-22,39,0.0
2017-01-29,48,1.0
2017-02-05,42,0.0
2017-02-12,40,0.0
2017-02-19,36,0.0
2017-02-26,40,0.0
2017-03-05,34,1.0
2017-03-12,31,0.0
2017-03-19,28,0.0
2017-03-26,20,0.0
2017-04-02,19,0.0
2017-04-09,18,0.0
2017-04-16,10,0.0
2017-04-23,15,0.0
2017-04-30,18,0.0
2017-05-07,17,0.0
2017-05-14,20,0.0
2017-05-21,18,1.0
2017-05-28,26,0.0
2017-06-04,34,1.0
2017-06-11,43,0.0
2017-06-18,56,0.0
2017-06-25,92,0.0
2017-07-02,109,0.0
2017-07-09,129,0.0
2017-07-16,137,0.0
2017-07-23,123,0.0
2017-07-30,159,1.0
2017-08-06,150,1.0
2017-08-13,163,0.0
2017-08-20,187,3.0
2017-08-27,191,1.0
2017-09-03,189,0.0
2017-09-10,175,0.0
2017-09-17,120,0.0
2017-09-24,155,0.0
2017-10-01,126,0.0
2017-10-08,112,1.0
2017-10-15,118,1.0
2017-10-22,108,1.0
2017-10-29,120,3.0
2017-11-05,120,2.0
2017-11-12,134,0.0
2017-11-19,104,2.0
2017-11-26,135,2.0
2017-12-03,106,0.0
2017-12-10,122,1.0
2017-12-17,92,0.0
2017-12-24,64,0.0
2017-12-31,62,1.0
2018-01-07,95,2.0
2018-01-14,75,0.0
2018-01-21,101,1.0
2018-01-28,93,1.0
2018-02-04,90,0.0
2018-02-11,76,1.0
2018-02-18,56,0.0
2018-02-25,56,0.0
2018-03-04,49,1.0
2018-03-11,41,0.0
2018-03-18,57,0.0
2018-03-25,40,0.0
2018-04-01,36,0.0
2018-04-08,26,0.0
2018-04-15,24,0.0
2018-04-22,21,0.0
2018-04-29,25,0.0
2018-05-06,27,0.0
2018-05-13,40,0.0
2018-05-20,21,0.0
2018-05-27,50,2.0
2018-06-03,39,0.0
2018-06-10,34,0.0
2018-06-17,41,0.0
2018-06-24,64,0.0
2018-07-01,70,0.0
2018-07-08,84,0.0
2018-07-15,137,0.0
2018-07-22,106,1.0
2018-07-29,136,2.0
2018-08-05,156,0.0
2018-08-12,173,0.0
2018-08-19,139,0.0
2018-08-26,184,0.0
2018-09-02,176,1.0
2018-09-09,209,0.0
2018-09-16,175,0.0
2018-09-23,173,2.0
2018-09-30,166,2.0
2018-10-07,162,0.0
2018-10-14,151,1.0
2018-10-21,171,0.0
2018-10-28,138,1.0
2018-11-04,120,2.0
2018-11-11,152,0.0
2018-11-18,109,0.0
2018-11-25,113,0.0
2018-12-02,104,1.0
2018-12-09,110,0.0
2018-12-16,97,1.0
2018-12-23,81,0.0
2018-12-30,92,0.0
2019-01-13,53,0.0
2019-01-20,181,0.0
2019-01-27,182,0.0
2019-02-03,152,0.0
2019-02-10,143,1.0
2019-02-17,140,2.0
2019-02-24,138,0.0
2019-03-03,111,0.0
2019-03-10,116,0.0
2019-03-17,88,0.0
2019-03-24,66,0.0
2019-03-31,83,0.0
2019-04-07,56,0.0
2019-04-14,36,1.0
2019-04-21,48,0.0
2019-04-28,43,0.0
2019-05-05,52,1.0
2019-05-12,36,1.0
2019-05-19,72,0.0
2019-05-26,60,0.0
2019-06-02,55,0.0
2019-06-09,69,0.0
2019-06-16,90,0.0
2019-06-23,123,0.0
2019-06-30,140,0.0
2019-07-07,199,1.0
2019-07-14,199,0.0
2019-07-21,298,0.0
2019-07-28,385,1.0
2019-08-04,480,0.0
2019-08-11,696,3.0
2019-08-18,580,0.0
2019-08-25,679,3.0
2019-09-01,855,3.0
2019-09-08,790,0.0
2019-09-15,907,4.0
2019-09-22,636,3.0
2019-09-29,530,0.0
2019-10-06,452,1.0
2019-10-13,375,2.0
2019-10-20,356,2.0
2019-10-27,372,2.0
2019-11-03,285,2.0
2019-11-10,282,0.0
2019-11-17,198,0.0
2019-11-24,179,0.0
2019-12-01,163,1.0
2019-12-08,139,0.0
2019-12-15,137,2.0
2019-12-22,134,1.0
2019-12-29,103,1.0
2020-01-05,136,1.0
2020-01-12,56,0.0
2020-01-19,148,0.0
2020-01-26,104,0.0
2020-02-02,109,0.0
2020-02-09,103,0.0
2020-02-16,90,0.0
2020-02-23,59,1.0
2020-03-01,54,0.0
2020-03-08,47,0.0
2020-03-15,46,0.0
2020-03-22,36,0.0
2020-03-29,6,0.0
2020-04-05,2,0.0
2020-04-12,1,0.0
2020-04-19,4,0.0
2020-04-26,6,0.0
2020-05-03,1,0.0
2020-05-10,0,0.0
2020-05-17,2,1.0
2020-05-24,3,0.0
2020-05-31,0,0.0
2020-06-07,5,0.0
2020-06-14,1,0.0
2020-06-21,6,0.0
2020-06-28,3,0.0
2020-07-05,6,0.0
2020-07-12,7,0.0
2020-07-19,6,0.0
2020-07-26,7,0.0
2020-08-02,9,0.0
2020-08-09,16,0.0
2020-08-16,5,1.0
2020-08-23,6,0.0
2020-08-30,7,0.0
2020-09-06,10,0.0
2020-09-13,9,0.0
2020-09-20,8,0.0
2020-09-27,5,0.0
2020-10-04,11,0.0
2020-10-11,6,0.0
2020-10-18,13,0.0
2020-10-25,7,0.0
2020-11-01,9,0.0
2020-11-08,12,1.0
2020-11-15,12,0.0
2020-11-22,13,0.0
2020-11-29,12,0.0
2020-12-06,10,0.0
2020-12-13,12,1.0
2020-12-20,13,0.0
2020-12-27,12,0.0
2021-01-03,11,0.0
2021-01-10,9,0.0
